CEP	BAIRRO_CANDIDATO	CLIENTES	PERCENTUAL	STATUS	FAMILIAS
74492030	RESIDENCIAL SERRA AZUL ETAPA I	3	66.7	REVISAR_AMBIGUO	RESIDENCIAL SERRA AZUL ETAPA I (2) | RESIDENCIAL SERRA AZUL (1)
74492706	JARDIM MIRABEL	2	50.0	REVISAR_AMBIGUO	JARDIM MIRABEL (1) | FAZENDA SANTA RITA QUADRA 01 (1)
74493060	CONJUNTO VERA CRUZ	4	75.0	REVISAR_AMBIGUO	CONJUNTO VERA CRUZ (3) | MONTE PASCOAL (1)
74493750	CONJUNTO VERA CRUZ	2	50.0	REVISAR_AMBIGUO	CONJUNTO VERA CRUZ (1) | CONJUNTO VERA CRUZ 2 (1)
74495290	CONJUNTO VERA CRUZ	2	50.0	REVISAR_AMBIGUO	CONJUNTO VERA CRUZ (1) | CONJUNTO VERA CRUZ 2 (1)
74495440	CONJUNTO VERA CRUZ II 7 ETAPA	2	50.0	REVISAR_AMBIGUO	CONJUNTO VERA CRUZ II 7 ETAPA (1) | CONJUNTO VERA CRUZ (1)
74495600	CONJUNTO VERA CRUZ	2	50.0	REVISAR_AMBIGUO	CONJUNTO VERA CRUZ (1) | CONJUNTO VERA CRUZ II (1)
74555556	ALBINO BOAVENTURA	5	60.0	REVISAR_AMBIGUO	ALBINO BOAVENTURA (3) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (1) | RESIDENCIAL ALBINO BOAVENTURA (1)
74555557	ALBINO BOAVENTURA	13	69.2	REVISAR_AMBIGUO	ALBINO BOAVENTURA (9) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (3) | ALBINO BOA VENTURA (1)
74555558	ALBINO BOAVENTURA	21	52.4	REVISAR_AMBIGUO	ALBINO BOAVENTURA (11) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (8) | RESIDENCIAL ALBINO BOAVENTURA (2)
74555559	RESIDENCIAL SENADOR ALBINO BOAVENTURA	11	45.5	REVISAR_AMBIGUO	RESIDENCIAL SENADOR ALBINO BOAVENTURA (5) | ALBINO BOAVENTURA (5) | RESIDENCIAL ALBINO BOAVENTURA (1)
74555561	ALBINO BOAVENTURA	2	50.0	REVISAR_AMBIGUO	ALBINO BOAVENTURA (1) | MARABA (1)
74573370	SEVENE	4	75.0	REVISAR_AMBIGUO	SEVENE (3) | RESIDENCIAL HUGO DE MORAES (1)
74573387	RESIDENCIAL HUGO DE MORAES	3	66.7	REVISAR_AMBIGUO	RESIDENCIAL HUGO DE MORAES (2) | HUGO DE MORAIS (1)
74573388	RESIDENCIAL HUGO DE MORAES	3	66.7	REVISAR_AMBIGUO	RESIDENCIAL HUGO DE MORAES (2) | HUGO MORAES (1)
74573391	RESIDENCIAL HUGO DE MORAES	3	66.7	REVISAR_AMBIGUO	RESIDENCIAL HUGO DE MORAES (2) | RESIDENCIAL HUGO DE MORAIS (1)
74573393	RESIDENCIAL HUGO DE MORAES	3	66.7	REVISAR_AMBIGUO	RESIDENCIAL HUGO DE MORAES (2) | HUGO MORAES (1)
74573426	RESIDENCIA GUAREMA	2	50.0	REVISAR_AMBIGUO	RESIDENCIA GUAREMA (1) | RESIDENCIAL GUAREMA (1)
74580270	PERIM	4	75.0	REVISAR_AMBIGUO	PERIM (3) | PROGRESSO (1)
74580860	PERIM	5	60.0	REVISAR_AMBIGUO	PERIM (3) | PERIM CONTINUACAO (2)
74583055	VILA MARIA DILCE	3	66.7	REVISAR_AMBIGUO	VILA MARIA DILCE (2) | VILA CRISTINA (1)
74583070	VILA CRISTINA	3	33.3	REVISAR_AMBIGUO	VILA CRISTINA (1) | MARIA DILCE (1) | VILA MARIA DILCE (1)
74583100	VILA MARIA DILCE	17	94.1	REVISAR_80	VILA MARIA DILCE (16) | MARIA DILCE (1)
74583290	MARABA	3	66.7	REVISAR_AMBIGUO	MARABA (2) | NOROESTE (1)
74583715	JARDIM GRAMADO	11	81.8	REVISAR_80	JARDIM GRAMADO (9) | VILA MARIA DILCE (1) | VILA CRISTINA (1)
